City,Date,Duration (Hours),Cause,Affected Area,Number of Customers Affected,Restoration Time,Comments,Quick_Response,Scaled Duration (Hours),Scaled Number of Customers Affected,Cluster_Labels
Mojo,2018-11-18,5.56,Maintenance,Mojo Industrial,191,11/18/2018 5:33,,0,-0.2842408170865805,-1.0170964782715144,0
Mojo,2017-11-28,10.1,Equipment Failure,Mojo Industrial,150,11/28/2017 10:06,,0,1.1426939343808893,-1.159005166642105,1
Dire Dawa,2021-02-21,9.07,Maintenance,Dire Dawa Substation 1,407,2/21/2021 9:04,,0,0.818962041426816,-0.2694799736849884,1
Bahir Dar,2019-06-18,9.46,Accident,Bahir Dar West,496,6/18/2019 9:27,,0,0.9415401368171934,0.0385657157048301,1
Dire Dawa,2021-08-25,1.12,Maintenance,F4,453,8/25/2021 1:07,QR,1,-1.6797452876847223,-0.1102653477082282,0
Harer,2022-07-09,5.58,Maintenance,Bedesa,259,7/9/2022 5:34,,0,-0.2779547609127148,-0.7817357268276081,0
Hawassa,2022-03-27,6.29,Equipment Failure,Hawassa South,695,3/27/2022 6:17,,0,-0.0547997667404894,0.7273420324303795,2
Addis Ababa,2021-05-31,1.21,Maintenance,Kality 2,902,5/31/2021 1:12,QR,1,-1.6514580349023278,1.4438078493258002,2
Bahir Dar,2017-05-17,3.86,Equipment Failure,Bahir Dar West,488,5/17/2017 3:51,,0,-0.8185555918651484,0.0108762155349588,0
Bahir Dar,2017-10-30,9.36,Equipment Failure,Bahir Dar West,660,10/30/2017 9:21,,0,0.9101098559478654,0.6062004691871925,1
Harer,2018-03-31,2.51,Equipment Failure,Bedesa,144,3/31/2018 2:30,QR,1,-1.24286438360107,-1.1797722917695086,0
Dire Dawa,2018-12-13,6.89,Equipment Failure,F4,615,12/13/2018 6:53,,0,0.1337819184754756,0.4504470307316662,1
Bahir Dar,2020-12-21,3.37,Maintenance,Bahir Dar West,568,12/21/2020 3:22,,0,-0.9725639681248532,0.2877712172336721,0
Harer,2020-02-25,1.13,Maintenance,Fedis,275,2/25/2020 1:07,QR,1,-1.67660225959779,-0.7263567264878654,0
Hawassa,2018-11-19,3.65,Equipment Failure,Hawassa Main,397,11/19/2018 3:39,,0,-0.8845591816907362,-0.3040918488973276,0
Harer,2018-01-15,11.73,Maintenance,Bedesa,188,1/15/2018 11:44,,0,1.6550075125509285,-1.0274800408352165,1
Dire Dawa,2022-06-21,9.82,Maintenance,F6,398,6/21/2022 9:49,,0,1.0546891479467724,-0.3006306613760937,1
Hawassa,2019-01-20,11.56,Maintenance,Hawassa South,453,1/20/2019 11:33,,0,1.6015760350730714,-0.1102653477082282,1
Addis Ababa,2019-02-15,6.37,Equipment Failure,TOTAL,1082,2/15/2019 6:21,,0,-0.0296555420450273,2.0668216031479054,2
Addis Ababa,2021-08-18,2.21,Maintenance,Average interruption per year/line    ,830,8/18/2021 2:12,QR,1,-1.3371552262090525,1.1946023477969585,2
Dire Dawa,2021-04-28,7.03,Equipment Failure,F2,314,4/28/2021 7:01,,0,0.1777843116925343,-0.5913704131597427,1
Dire Dawa,2020-11-09,6.0,Maintenance,F1,566,11/9/2020 5:59,,0,-0.1459475812615392,0.2808488421912043,0
Hawassa,2021-02-27,10.29,Equipment Failure,Hawassa Main,667,2/27/2021 10:17,,0,1.2024114680326117,0.6304287818358298,1
Dire Dawa,2020-08-29,2.08,Maintenance,F4,467,8/29/2020 2:04,QR,1,-1.3780145913391784,-0.0618087224109534,0
Hawassa,2018-02-26,6.37,Maintenance,Hawassa Main,554,2/26/2018 6:22,,0,-0.0296555420450273,0.2393145919363973,0
Dire Dawa,2018-06-24,2.65,Maintenance,F5,558,6/24/2018 2:39,QR,1,-1.1988619903840114,0.2531593420213329,0
Dire Dawa,2020-05-07,4.57,Maintenance,Dire Dawa Substation 1,638,5/7/2020 4:34,,0,-0.5954005976929228,0.5300543437200463,0
Dire Dawa,2018-05-08,9.11,Accident,F6,448,5/8/2018 9:06,,0,0.8315341537745466,-0.1275712853143978,1
Mojo,2022-11-01,6.24,Equipment Failure,Mojo Industrial,204,11/1/2022 6:14,,0,-0.0705149071751531,-0.9721010404954736,0
Bahir Dar,2018-10-14,5.13,Equipment Failure,Bahir Dar West,599,10/14/2018 5:08,,0,-0.4193910248246887,0.3950680303919235,0
Dire Dawa,2018-09-25,5.34,Maintenance,F4,593,9/25/2018 5:20,,0,-0.3533874349991009,0.37430090526452,0
Bahir Dar,2018-03-30,6.05,Equipment Failure,Bahir Dar East,337,3/30/2018 6:03,,0,-0.1302324408268755,-0.5117631001713626,0
Bahir Dar,2021-03-24,9.64,Maintenance,Bahir Dar West,566,3/24/2021 9:38,,0,0.9981146423819828,0.2808488421912043,1
Hawassa,2018-11-26,10.81,Equipment Failure,Hawassa South,363,11/26/2018 10:48,,0,1.365848928553115,-0.4217722246192807,1
Dire Dawa,2019-02-03,11.51,Maintenance,Dire Dawa Substation 1,667,2/3/2019 11:30,,0,1.5858608946384074,0.6304287818358298,1
Addis Ababa,2022-08-07,9.66,Accident,Addis East1,1008,8/7/2022 9:39,,0,1.0044006985558482,1.810693726576596,2
Harer,2021-10-08,4.47,Maintenance,Line 4,160,10/8/2021 4:28,,0,-0.6268308785622505,-1.124393291429766,0
Hawassa,2018-08-22,8.57,Equipment Failure,Hawassa South,436,8/22/2018 8:34,,0,0.6618106370801783,-0.1691055355692048,1
Hawassa,2017-09-24,5.81,Accident,Hawassa Main,662,9/24/2017 5:48,,0,-0.2056651149132616,0.6131228442296602,2
Mojo,2021-01-21,3.8,Maintenance,Mojo Industrial,215,1/21/2021 3:48,,0,-0.8374137603867449,-0.9340279777619004,0
Harer,2019-04-12,10.25,Maintenance,Line 1,279,4/12/2019 10:14,,0,1.1898393556848803,-0.7125119764029297,1
Addis Ababa,2022-11-17,1.42,Maintenance,Sebeta 2,941,11/17/2022 1:25,QR,1,-1.58545444507674,1.578794162653923,2
Addis Ababa,2021-11-28,10.92,Equipment Failure,TOTAL,1152,11/28/2021 10:55,,0,1.4004222375093751,2.30910472963428,2
Addis Ababa,2022-09-22,6.08,Equipment Failure,DUKEM,987,9/22/2022 6:04,,0,-0.1208033565660772,1.7380087886306832,2
Bahir Dar,2021-10-29,8.01,Maintenance,Bahir Dar East,251,10/29/2021 8:00,,0,0.4858010642119439,-0.8094252269974794,1
Bahir Dar,2018-09-29,8.25,Maintenance,Bahir Dar East,591,9/29/2018 8:15,,0,0.5612337382983301,0.3673785302220522,1
Bahir Dar,2018-09-22,10.85,Equipment Failure,Bahir Dar West,669,9/22/2018 10:50,,0,1.3784210409008455,0.6373511568782977,1
Bahir Dar,2021-04-13,8.0,Maintenance,Bahir Dar West,624,4/13/2021 8:00,,0,0.4826580361250113,0.4815977184227714,1
Mojo,2019-01-29,7.75,Equipment Failure,Mojo Central,139,1/29/2019 7:45,,0,0.4040823339516924,-1.197078229375678,1
Mojo,2019-08-27,1.73,Accident,Mojo Central,285,8/27/2019 1:43,QR,1,-1.4880205743818244,-0.6917448512755263,0
Bahir Dar,2018-07-16,6.7,Accident,Bahir Dar East,361,7/16/2018 6:42,,0,0.0740643848237534,-0.4286945996617486,1
Mojo,2019-11-16,2.65,Maintenance,Mojo Central,137,11/16/2019 2:39,QR,1,-1.1988619903840114,-1.204000604418146,0
Harer,2018-03-19,9.11,Maintenance,TL,185,3/19/2018 9:06,,0,0.8315341537745466,-1.037863603398918,1
Harer,2020-03-25,6.63,Equipment Failure,Harer Water,220,3/25/2020 6:38,,0,0.0520631882152241,-0.9167220401557308,1
Mojo,2022-08-06,8.48,Maintenance,Mojo Industrial,259,8/6/2022 8:28,,0,0.6335233842977835,-0.7817357268276081,1
Mojo,2021-03-05,1.46,Maintenance,Mojo Industrial,100,3/5/2021 1:27,QR,1,-1.572882332729009,-1.332064542703801,0
Harer,2017-10-28,1.93,Maintenance,Line1,163,10/28/2017 1:55,QR,1,-1.4251600126431696,-1.1140097288660642,0
Addis Ababa,2020-09-10,8.88,Maintenance,Average interruption per year/line    ,1190,9/10/2020 8:52,,0,0.7592445077750938,2.4406298554411685,2
Bahir Dar,2020-07-09,1.79,Maintenance,Bahir Dar East,480,7/9/2020 1:47,QR,1,-1.4691624058602282,-0.0168132846349125,0
Mojo,2018-06-15,1.78,Maintenance,Mojo Central,172,6/15/2018 1:47,QR,1,-1.4723054339471608,-1.0828590411749588,0
Mojo,2021-01-06,1.13,Maintenance,Mojo Industrial,285,1/6/2021 1:07,QR,1,-1.67660225959779,-0.6917448512755263,0
Dire Dawa,2020-03-08,11.52,Maintenance,Dire Dawa Substation 1,354,3/8/2020 11:31,,0,1.58900392272534,-0.452922912310386,1
Dire Dawa,2020-10-29,9.11,Maintenance,Dire Dawa Substation 1,601,10/29/2020 9:06,,0,0.8315341537745466,0.4019904054343913,1
Hawassa,2017-04-25,4.89,Maintenance,Hawassa South,692,4/25/2017 4:53,,0,-0.4948236989110749,0.7169584698666778,2
Hawassa,2019-06-25,4.26,Maintenance,Hawassa Main,446,6/25/2019 4:15,,0,-0.6928344683878382,-0.1344936603568657,0
Dire Dawa,2021-04-21,4.85,Equipment Failure,F5 ,324,4/21/2021 4:50,,0,-0.507395811258806,-0.5567585379474035,0
Hawassa,2017-08-09,9.52,Equipment Failure,Hawassa Main,632,8/9/2017 9:31,,0,0.9603983053387896,0.5092872185926428,1
Mojo,2021-08-15,8.28,Equipment Failure,Mojo Industrial,133,8/15/2021 8:16,,0,0.5706628225591281,-1.2178453545030816,1
Addis Ababa,2017-01-12,3.04,Maintenance,DUKEM,1078,1/12/2017 3:02,,0,-1.076283894993634,2.0529768530629697,2
Dire Dawa,2020-04-20,2.92,Maintenance,F3,696,4/20/2020 2:54,QR,1,-1.1140002320368272,0.7308032199516135,0
Bahir Dar,2022-07-28,2.08,Maintenance,Bahir Dar East,365,7/28/2022 2:04,QR,1,-1.3780145913391784,-0.4148498495768129,0
Mojo,2019-06-11,8.26,Maintenance,Mojo Central,231,6/11/2019 8:15,,0,0.5643767663852628,-0.8786489774221578,1
Dire Dawa,2022-08-10,9.41,Equipment Failure,F2,549,8/10/2022 9:24,,0,0.9258249963825296,0.2220086543302277,1
Hawassa,2022-04-08,3.92,Maintenance,Hawassa Main,339,4/8/2022 3:54,,0,-0.7996974233435519,-0.5048407251288948,0
Mojo,2019-11-12,1.23,Accident,Mojo Central,230,11/12/2019 1:13,QR,1,-1.6451719787284622,-0.8821101649433917,0
Mojo,2018-03-13,1.9,Equipment Failure,Mojo Central,108,3/13/2018 1:54,QR,1,-1.434589096903968,-1.3043750425339296,0
Mojo,2022-10-12,11.65,Equipment Failure,Mojo Industrial,223,10/12/2022 11:38,,0,1.6298632878554662,-0.9063384775920292,1
Dire Dawa,2018-12-05,4.25,Accident,F1,393,12/5/2018 4:14,,0,-0.695977496474771,-0.3179365989822633,0
Mojo,2020-11-15,9.46,Maintenance,Mojo Central,145,11/15/2020 9:27,,0,0.9415401368171934,-1.1763111042482746,1
Bahir Dar,2022-06-12,7.87,Maintenance,Bahir Dar East,657,6/12/2022 7:52,,0,0.4417986709948855,0.5958169066234907,1
Bahir Dar,2017-07-15,5.2,Accident,Bahir Dar East,577,7/15/2017 5:12,,0,-0.3973898282161594,0.3189219049247774,0
Mojo,2020-06-11,3.26,Accident,Mojo Industrial,289,6/11/2020 3:15,,0,-1.0071372770811136,-0.6779001011905906,0
Mojo,2020-03-17,2.34,Equipment Failure,Mojo Industrial,113,3/17/2020 2:20,QR,1,-1.2962958610789268,-1.2870691049277598,0
Bahir Dar,2021-05-03,7.77,Maintenance,Bahir Dar East,453,5/3/2021 7:45,,0,0.4103683901255578,-0.1102653477082282,1
Dire Dawa,2022-08-14,9.52,Accident,F1,546,8/14/2022 9:31,,0,0.9603983053387896,0.2116250917665259,1
Hawassa,2022-06-23,8.08,Maintenance,Hawassa South,310,6/23/2022 8:04,,0,0.5078022608204733,-0.6052151632446784,1
Dire Dawa,2018-01-19,6.83,Maintenance,F4,616,1/19/2018 6:49,,0,0.1149237499538792,0.4539082182529001,1
Hawassa,2022-04-17,1.46,Maintenance,Hawassa South,600,4/17/2022 1:27,QR,1,-1.572882332729009,0.3985292179131575,0
Addis Ababa,2018-01-20,11.65,Accident,Gelan,1173,1/20/2018 11:39,,0,1.6298632878554662,2.381789667580192,2
Harer,2022-07-08,9.79,Maintenance,Fedis,122,7/8/2022 9:47,,0,1.0452600636859737,-1.2559184172366546,1
Addis Ababa,2022-12-24,4.22,Equipment Failure,DUKEM,1051,12/24/2022 4:13,,0,-0.7054065807355693,1.959524789989654,2
Mojo,2019-05-20,11.78,Maintenance,Mojo Central,208,5/20/2019 11:46,,0,1.6707226529855916,-0.9582562904105378,1
Harer,2019-12-21,7.62,Equipment Failure,Fedis,179,12/21/2019 7:37,,0,0.3632229688215667,-1.0586307285263217,1
Dire Dawa,2022-08-14,7.41,Maintenance,F5 ,621,8/14/2022 7:24,,0,0.2972193789959789,0.4712141558590697,1
Dire Dawa,2022-10-09,9.23,Maintenance,F6,342,10/9/2022 9:13,,0,0.86925049081774,-0.494457162565193,1
Mojo,2022-07-22,9.93,Equipment Failure,Mojo Central,212,7/22/2022 9:55,,0,1.0892624569030325,-0.9444115403256022,1
Dire Dawa,2022-04-05,8.22,Maintenance,F4,448,4/5/2022 8:13,,0,0.5518046540375321,-0.1275712853143978,1
Mojo,2017-01-21,2.41,Equipment Failure,Mojo Industrial,209,1/21/2017 2:24,QR,1,-1.2742946644703974,-0.954795102889304,0
Hawassa,2020-05-28,4.72,Accident,Hawassa South,342,5/28/2020 4:43,,0,-0.5482551763889317,-0.494457162565193,0
Bahir Dar,2017-08-23,11.21,Maintenance,Bahir Dar East,678,8/23/2017 11:12,,0,1.4915700520304251,0.668501844569403,1
Addis Ababa,2022-11-23,3.47,Maintenance,Addis West,934,11/23/2022 3:28,,0,-0.9411336872555256,1.5545658500052857,2
Mojo,2018-09-16,5.09,Maintenance,Mojo Industrial,285,9/16/2018 5:05,,0,-0.4319631371724198,-0.6917448512755263,0
Harer,2022-12-07,5.75,Maintenance,Bedesa,223,12/7/2022 5:45,,0,-0.224523283434858,-0.9063384775920292,0
Addis Ababa,2020-04-04,5.83,Equipment Failure,Addis West,834,4/4/2020 5:50,,0,-0.199379058739396,1.208447097881894,2
Harer,2019-12-18,7.74,Maintenance,Line 1,286,12/18/2019 7:44,,0,0.4009393058647598,-0.6882836637542924,1
Bahir Dar,2022-08-18,11.37,Maintenance,Bahir Dar West,569,8/18/2022 11:22,,0,1.5418585014213486,0.291232404754906,1
Hawassa,2022-02-07,3.65,Maintenance,Hawassa Main,603,2/7/2022 3:38,,0,-0.8845591816907362,0.4089127804768592,0
Hawassa,2019-10-22,2.34,Maintenance,Hawassa South,335,10/22/2019 2:20,QR,1,-1.2962958610789268,-0.5186854752138305,0
Hawassa,2018-02-27,3.17,Equipment Failure,Hawassa Main,328,2/27/2018 3:10,,0,-1.0354245298635083,-0.5429137878624678,0
Harer,2017-09-04,10.76,Maintenance,Harer Water,240,9/4/2017 10:45,,0,1.350133788118451,-0.8474982897310526,1
Harer,2017-12-22,8.1,Equipment Failure,Line 2,240,12/22/2017 8:06,,0,0.5140883169943387,-0.8474982897310526,1
Bahir Dar,2019-10-03,4.14,Accident,Bahir Dar West,433,10/3/2019 4:08,,0,-0.7305508054310313,-0.1794890981329066,0
Dire Dawa,2018-07-18,9.98,Maintenance,F5,667,7/18/2018 9:58,,0,1.1049775973376963,0.6304287818358298,1
Hawassa,2018-02-12,10.48,Equipment Failure,Hawassa South,553,2/12/2018 10:28,,0,1.262129001684334,0.2358534044151634,1
Bahir Dar,2021-06-02,10.31,Maintenance,Bahir Dar East,304,6/2/2021 10:18,,0,1.2086975242064772,-0.6259822883720818,1
Addis Ababa,2021-09-28,11.11,Accident,TOTAL,1065,9/28/2021 11:06,,0,1.4601397711610973,2.007981415286929,2
Hawassa,2020-05-28,3.77,Maintenance,Hawassa South,549,5/28/2020 3:46,,0,-0.8468428446475431,0.2220086543302277,0
Dire Dawa,2021-07-17,9.31,Accident,F2,330,7/17/2021 9:18,,0,0.894394715513202,-0.5359914128200001,1
Harer,2018-01-20,6.07,Equipment Failure,PT,238,1/20/2018 6:03,,0,-0.1239463846530099,-0.8544206647735203,0
Addis Ababa,2022-02-18,10.26,Maintenance,TOTAL,843,2/18/2022 10:15,,0,1.1929823837718134,1.2395977855729992,2
Addis Ababa,2022-05-19,9.01,Maintenance,Nifas Silk,943,5/19/2022 9:00,,0,0.8001038729052192,1.5857165376963909,2
Hawassa,2021-12-17,9.54,Equipment Failure,Hawassa South,352,12/17/2021 9:32,,0,0.9666843615126548,-0.4598452873528538,1
Addis Ababa,2020-02-03,8.22,Maintenance,Addis West,869,2/3/2020 8:13,,0,0.5518046540375321,1.3295886611250811,2
Mojo,2017-07-09,2.95,Maintenance,Mojo Central,220,7/9/2017 2:57,QR,1,-1.1045711477760287,-0.9167220401557308,0
Dire Dawa,2021-01-05,7.0,Accident,F5,479,1/5/2021 6:59,,0,0.168355227431736,-0.0202744721561464,1
Bahir Dar,2018-02-09,11.83,Maintenance,Bahir Dar West,478,2/9/2018 11:49,,0,1.6864377934202557,-0.0237356596773803,1
Addis Ababa,2017-11-04,11.31,Equipment Failure,Kality 2,952,11/4/2017 11:18,,0,1.5230003328997526,1.616867225387496,2
Harer,2018-12-10,1.47,Maintenance,Line 3,249,12/10/2018 1:28,QR,1,-1.5697393046420762,-0.8163476020399473,0
Bahir Dar,2018-06-28,2.81,Maintenance,Bahir Dar West,390,6/28/2018 2:48,QR,1,-1.1485735409930873,-0.328320161545965,0
Bahir Dar,2018-07-26,2.45,Accident,Bahir Dar East,336,7/26/2018 2:26,QR,1,-1.2617225521226665,-0.5152242876925965,0
Hawassa,2018-05-31,8.99,Equipment Failure,Hawassa Main,449,5/31/2018 8:59,,0,0.7938178167313539,-0.1241100977931639,1
Addis Ababa,2021-07-09,10.0,Maintenance,Sebeta 1,1115,7/9/2021 9:59,,0,1.111263653511562,2.1810407913486247,2
Addis Ababa,2022-09-21,3.35,Maintenance,TOTAL,1061,9/21/2022 3:20,,0,-0.9788500242987188,1.9941366652019927,2
Hawassa,2018-10-24,6.56,Maintenance,Hawassa South,354,10/24/2018 6:33,,0,0.0300619916066947,-0.452922912310386,1
Bahir Dar,2021-05-03,10.25,Maintenance,Bahir Dar West,548,5/3/2021 10:14,,0,1.1898393556848803,0.2185474668089937,1
Harer,2017-01-26,9.06,Equipment Failure,Fedis,109,1/26/2017 9:03,,0,0.8158190133398833,-1.3009138550126955,1
Dire Dawa,2020-12-02,6.96,Maintenance,F5 ,644,12/2/2020 6:57,,0,0.155783115084005,0.5508214688474498,2
Addis Ababa,2021-02-26,7.49,Maintenance,TOTAL,903,2/26/2021 7:29,,0,0.3223636036914409,1.4472690368470342,2
Addis Ababa,2017-05-17,6.59,Maintenance,Gofa,1087,5/17/2017 6:35,,0,0.0394910758674931,2.084127540754075,2
Hawassa,2017-09-16,4.27,Maintenance,Hawassa South,460,9/16/2017 4:16,,0,-0.6896914403009056,-0.0860370350595908,0
Dire Dawa,2018-11-03,7.22,Maintenance,F5,439,11/3/2018 7:12,,0,0.2375018453442565,-0.1587219730055031,1
Addis Ababa,2019-06-07,8.58,Maintenance,Kotebe B,602,6/7/2019 8:34,,0,0.664953665167111,0.4054515929556253,1
Harer,2020-01-06,10.61,Maintenance,Line 2,259,1/6/2020 10:36,,0,1.3029883668144595,-0.7817357268276081,1
Harer,2022-05-15,8.0,Equipment Failure,Line 2,167,5/15/2022 7:59,,0,0.4826580361250113,-1.1001649787811285,1
Addis Ababa,2021-03-21,9.37,Accident,Nifas Silk,931,3/21/2021 9:22,,0,0.913252884034798,1.5441822874415838,2
Bahir Dar,2018-11-13,2.76,Maintenance,Bahir Dar West,491,11/13/2018 2:45,QR,1,-1.164288681427751,0.0212597780986605,0
Dire Dawa,2017-09-15,6.08,Maintenance,F5 ,469,9/15/2017 6:04,,0,-0.1208033565660772,-0.0548863473684856,0
Mojo,2022-06-30,1.1,Maintenance,Mojo Central,110,6/30/2022 1:06,QR,1,-1.686031343858588,-1.2974526674914617,0
Dire Dawa,2018-10-09,3.71,Equipment Failure,Dire Dawa Substation 1,328,10/9/2018 3:42,,0,-0.8657010131691396,-0.5429137878624678,0
Hawassa,2020-09-08,8.99,Equipment Failure,Hawassa South,333,9/8/2020 8:59,,0,0.7938178167313539,-0.5256078502562983,1
Harer,2018-04-25,11.91,Maintenance,Line 1,197,4/25/2018 11:54,,0,1.7115820181157175,-0.996329353144111,1
Hawassa,2017-10-20,2.09,Maintenance,Hawassa South,318,10/20/2017 2:05,QR,1,-1.3748715632522457,-0.577525663074807,0
Hawassa,2017-12-02,5.42,Accident,Hawassa Main,312,12/2/2017 5:24,,0,-0.3282432103036389,-0.5982927882022105,0
Mojo,2021-06-26,9.8,Maintenance,Mojo Central,102,6/26/2021 9:48,,0,1.048403091772907,-1.325142167661333,1
Bahir Dar,2020-08-19,3.24,Equipment Failure,Bahir Dar East,617,8/19/2020 3:14,,0,-1.013423333254979,0.457369405774134,0
Addis Ababa,2019-06-30,7.11,Maintenance,Kality North,922,6/30/2019 7:06,,0,0.2029285363879963,1.5130315997504786,2
Addis Ababa,2020-04-17,9.06,Equipment Failure,Addis East1,955,4/17/2020 9:03,,0,0.8158190133398833,1.627250787951198,2
Addis Ababa,2019-10-29,7.78,Accident,Legetafo,1056,10/29/2019 7:46,,0,0.4135114182124908,1.976830727595824,2
Dire Dawa,2020-03-23,3.07,Maintenance,F3,570,3/23/2020 3:04,,0,-1.066854810732836,0.2946935922761399,0
Mojo,2020-12-25,4.91,Maintenance,Mojo Industrial,230,12/25/2020 4:54,,0,-0.4885376427372092,-0.8821101649433917,0
Hawassa,2018-04-24,9.62,Equipment Failure,Hawassa South,486,4/24/2018 9:37,,0,0.991828586208117,0.0039538404924909,1
Harer,2018-06-26,7.1,Maintenance,Line 4,223,6/26/2018 7:05,,0,0.1997855083010634,-0.9063384775920292,1
Harer,2021-07-11,1.06,Maintenance,Line 4,205,7/11/2021 1:03,QR,1,-1.698603456206319,-0.9686398529742396,0
Dire Dawa,2022-03-28,9.37,Maintenance,F4,676,3/28/2022 9:22,,0,0.913252884034798,0.6615794695269351,1
Hawassa,2017-06-29,1.39,Maintenance,Hawassa South,445,6/29/2017 1:23,QR,1,-1.5948835293375383,-0.1379548478780996,0
Mojo,2019-09-06,9.2,Maintenance,Mojo Industrial,291,9/6/2019 9:12,,0,0.8598214065569414,-0.6709777261481228,1
Bahir Dar,2021-03-22,3.23,Maintenance,Bahir Dar East,577,3/22/2021 3:13,,0,-1.0165663613419118,0.3189219049247774,0
Harer,2017-06-21,11.54,Maintenance,TL,263,6/21/2017 11:32,,0,1.5952899788992054,-0.7678909767426725,1
Dire Dawa,2020-05-20,5.05,Accident,F5 ,502,5/20/2020 5:02,,0,-0.4445352495201508,0.0593328408322336,0
Mojo,2017-05-16,4.6,Maintenance,Mojo Central,181,5/16/2017 4:35,,0,-0.5859715134321247,-1.0517083534838536,0
Mojo,2020-04-14,2.64,Accident,Mojo Industrial,244,4/14/2020 2:38,QR,1,-1.202005018470944,-0.8336535396461169,0
Bahir Dar,2020-01-13,4.36,Equipment Failure,Bahir Dar West,694,1/13/2020 4:21,,0,-0.6614041875185106,0.7238808449091456,0
Hawassa,2020-06-08,10.64,Maintenance,Hawassa South,676,6/8/2020 10:38,,0,1.3124174510752582,0.6615794695269351,1
Mojo,2017-11-25,11.96,Equipment Failure,Mojo Industrial,173,11/25/2017 11:57,,0,1.7272971585503816,-1.079397853653725,1
Bahir Dar,2018-12-20,5.05,Accident,Bahir Dar East,419,12/20/2018 5:03,,0,-0.4445352495201508,-0.2279457234301814,0
Bahir Dar,2020-02-14,5.93,Maintenance,Bahir Dar West,428,2/14/2020 5:56,,0,-0.1679487778700686,-0.1967950357390762,0
Harer,2017-09-12,8.94,Maintenance,Line 1,148,9/12/2017 8:56,,0,0.7781026762966898,-1.165927541684573,1
Mojo,2018-03-26,10.75,Maintenance,Mojo Central,202,3/26/2018 10:44,,0,1.3469907600315183,-0.9790234155379414,1
Dire Dawa,2020-07-01,7.52,Accident,F4,352,7/1/2020 7:31,,0,0.331792687952239,-0.4598452873528538,1
Harer,2017-07-19,5.31,Maintenance,Line 4,139,7/19/2017 5:18,,0,-0.3628165192598993,-1.197078229375678,0
Bahir Dar,2020-01-23,5.54,Maintenance,Bahir Dar West,355,1/23/2020 5:32,,0,-0.2905268732604458,-0.4494617247891521,0
Hawassa,2021-11-07,8.65,Equipment Failure,Hawassa Main,554,11/7/2021 8:39,,0,0.6869548617756404,0.2393145919363973,1
Dire Dawa,2019-09-21,1.04,Maintenance,F3,351,9/21/2019 1:02,QR,1,-1.7048895123801846,-0.4633064748740877,0
Harer,2020-01-30,7.82,Maintenance,Line 3,197,1/30/2020 7:48,,0,0.4260835305602218,-0.996329353144111,1
Bahir Dar,2019-09-28,4.91,Maintenance,Bahir Dar West,570,9/28/2019 4:54,,0,-0.4885376427372092,0.2946935922761399,0
Harer,2017-05-07,9.74,Equipment Failure,Fedis,250,5/7/2017 9:44,,0,1.0295449232513103,-0.8128864145187134,1
Bahir Dar,2019-10-10,2.02,Equipment Failure,Bahir Dar West,666,10/10/2019 2:01,QR,1,-1.3968727598607749,0.6269675943145959,0
Hawassa,2021-11-03,7.47,Equipment Failure,Hawassa Main,453,11/3/2021 7:28,,0,0.3160775475175753,-0.1102653477082282,1
Bahir Dar,2021-05-03,6.29,Accident,Bahir Dar West,632,5/3/2021 6:17,,0,-0.0547997667404894,0.5092872185926428,0
Harer,2019-05-18,8.07,Accident,Harer No 3,212,5/18/2019 8:03,,0,0.5046592327335406,-0.9444115403256022,1
Mojo,2021-11-24,1.71,Equipment Failure,Mojo Central,259,11/24/2021 1:42,QR,1,-1.4943066305556902,-0.7817357268276081,0
Mojo,2021-06-22,7.38,Maintenance,Mojo Industrial,160,6/22/2021 7:22,,0,0.2877902947351806,-1.124393291429766,1
Bahir Dar,2020-06-20,7.18,Equipment Failure,Bahir Dar East,495,6/20/2020 7:10,,0,0.2249297329965254,0.0351045281835962,1
Dire Dawa,2017-04-10,7.17,Equipment Failure,F3,507,4/10/2017 7:10,,0,0.2217867049095928,0.0766387784384032,1
Harer,2019-01-25,7.64,Equipment Failure,TL,202,1/25/2019 7:38,,0,0.3695090249954321,-0.9790234155379414,1
Hawassa,2017-05-20,8.44,Maintenance,Hawassa Main,397,5/20/2017 8:26,,0,0.6209512719500523,-0.3040918488973276,1
Harer,2022-12-18,9.85,Equipment Failure,Fedis,246,12/18/2022 9:51,,0,1.0641182322075704,-0.826731164603649,1
Addis Ababa,2022-08-09,3.97,Maintenance,Nifas Silk,1196,8/9/2022 3:58,,0,-0.7839822829088879,2.461396980568572,2
Addis Ababa,2017-06-01,10.08,Equipment Failure,Addis West,1031,6/1/2017 10:04,,0,1.136407878207024,1.890301039564976,2
Mojo,2022-08-07,6.48,Maintenance,Mojo Industrial,145,8/7/2022 6:28,,0,0.004917766911233,-1.1763111042482746,1
Bahir Dar,2017-03-11,1.85,Equipment Failure,Bahir Dar East,521,3/11/2017 1:50,QR,1,-1.4503042373386317,0.125095403735678,0
Dire Dawa,2019-06-15,1.64,Maintenance,F5 ,304,6/15/2019 1:38,QR,1,-1.5163078271642196,-0.6259822883720818,0
Bahir Dar,2021-08-12,4.68,Accident,Bahir Dar West,354,8/12/2021 4:40,,0,-0.5608272887366627,-0.452922912310386,0
Hawassa,2021-08-05,9.63,Maintenance,Hawassa Main,387,8/5/2021 9:38,,0,0.9949716142950502,-0.3387037241096667,1
Dire Dawa,2022-11-13,8.78,Equipment Failure,F6,469,11/13/2022 8:47,,0,0.7278142269057658,-0.0548863473684856,1
