City,Date,Duration (Hours),Cause,Affected Area,Number of Customers Affected,Restoration Time,Comments,Quick_Response,Scaled Duration (Hours),Scaled Number of Customers Affected
Addis Ababa,2020-12-27,2.84,Maintenance,Bole Lemi,992,12/27/2020 2:50,QR,1,-1.1391444567322893,1.7553147262368527
Dire Dawa,2019-03-31,11.9,Maintenance,F5,666,3/31/2019 11:54,,0,1.7084389900287849,0.6269675943145959
Hawassa,2017-12-01,3.55,Equipment Failure,Hawassa Main,520,12/1/2017 3:32,,0,-0.9159894625600637,0.12163421621444413
Addis Ababa,2022-07-15,11.37,Maintenance,Kality North,988,7/15/2022 11:22,,0,1.5418585014213486,1.741469976151917
Bahir Dar,2017-05-28,8.15,Accident,Bahir Dar East,326,5/28/2017 8:08,,0,0.5298034574290027,-0.5498361629049356
Bahir Dar,2021-12-27,7.69,Equipment Failure,Bahir Dar East,509,12/27/2021 7:41,,0,0.3852241654300961,0.08356115348087105
Dire Dawa,2017-07-24,6.64,Maintenance,F5 ,473,7/24/2017 6:38,,0,0.055206216302156816,-0.041041597283549947
Dire Dawa,2017-07-31,3.54,Maintenance,F3,682,7/31/2017 3:32,,0,-0.9191324906469964,0.6823465946543387
Addis Ababa,2021-06-06,2.94,Maintenance,Nifas Silk,951,6/6/2021 2:56,QR,1,-1.1077141758629616,1.6134060378662622
Harer,2021-11-13,3.43,Maintenance,Line 4,137,11/13/2021 3:25,,0,-0.9537057996032566,-1.204000604418146
Bahir Dar,2020-05-03,3.05,Maintenance,Bahir Dar East,497,5/3/2020 3:03,,0,-1.0731408669067013,0.042026903226064054
Addis Ababa,2020-07-08,9.58,Maintenance,Kality 1,977,7/8/2020 9:34,,0,0.9792564738603863,1.703396913418344
Mojo,2020-05-14,4.85,Equipment Failure,Mojo Industrial,266,5/14/2020 4:51,,0,-0.507395811258806,-0.7575074141789707
Hawassa,2018-12-23,1.64,Equipment Failure,Hawassa Main,383,12/23/2018 1:38,QR,1,-1.5163078271642196,-0.35254847419460245
Mojo,2017-09-25,11.66,Maintenance,Mojo Industrial,159,9/25/2017 11:39,,0,1.6330063159423989,-1.1278544789509997
Mojo,2019-02-14,10.72,Equipment Failure,Mojo Industrial,234,2/14/2019 10:43,,0,1.3375616757707203,-0.868265414858456
Harer,2020-12-28,11.21,Equipment Failure,Bedesa,166,12/28/2020 11:12,,0,1.4915700520304251,-1.1036261663023623
Dire Dawa,2021-07-02,11.94,Accident,F3,376,7/2/2021 11:56,,0,1.7210111023765158,-0.37677678684323984
Dire Dawa,2022-03-17,2.91,Equipment Failure,F3,311,3/17/2022 2:54,QR,1,-1.1171432601237599,-0.6017539757234445
Harer,2021-04-29,5.36,Equipment Failure,PT,260,4/29/2021 5:21,,0,-0.34710137882523534,-0.7782745393063741
Addis Ababa,2022-10-22,9.34,Equipment Failure,TOTAL,907,10/22/2022 9:20,,0,0.9038237997740001,1.46111378693197
Addis Ababa,2020-08-07,8.66,Maintenance,Weregenu,1107,8/7/2020 8:39,,0,0.690097889862573,2.1533512911787533
Hawassa,2019-02-10,2.69,Equipment Failure,Hawassa South,675,2/10/2019 2:41,QR,1,-1.1862898780362805,0.6581182820057012
Mojo,2020-06-19,9.97,Maintenance,Mojo Central,182,6/19/2020 9:58,,0,1.1018345692507638,-1.0482471659626196
Harer,2018-04-11,3.47,Accident,PT,102,4/11/2018 3:28,,0,-0.9411336872555256,-1.325142167661333
Mojo,2020-12-09,3.46,Equipment Failure,Mojo Central,232,12/9/2020 3:27,,0,-0.9442767153424585,-0.8751877899009238
Addis Ababa,2018-05-07,6.91,Maintenance,Total No oflines,1046,5/7/2018 6:54,,0,0.1400679746493413,1.9422188523834845
Addis Ababa,2017-08-25,7.52,Maintenance,Addis Center,870,8/25/2017 7:31,,0,0.33179268795223904,1.333049848646315
Hawassa,2022-01-26,7.38,Maintenance,Hawassa South,392,1/26/2022 7:22,,0,0.2877902947351806,-0.3213977865034972
Harer,2019-03-16,2.01,Maintenance,Line 1,162,3/16/2019 2:00,QR,1,-1.4000157879477075,-1.117470916387298
Harer,2021-07-29,10.65,Maintenance,Line 2,130,7/29/2021 10:39,,0,1.3155604791621909,-1.2282289170667833
Addis Ababa,2020-06-11,3.92,Maintenance,DUKEM,913,6/11/2020 3:55,,0,-0.7996974233435519,1.4818809120593734
Bahir Dar,2021-11-03,2.42,Maintenance,Bahir Dar West,506,11/3/2021 2:25,QR,1,-1.2711516363834647,0.0731775909171693
Dire Dawa,2022-01-25,10.78,Accident,F5,528,1/25/2022 10:46,,0,1.3564198442923163,0.14932371638431546
Hawassa,2022-11-05,11.51,Maintenance,Hawassa Main,641,11/5/2022 11:30,,0,1.5858608946384074,0.540437906283748
Mojo,2021-11-28,10.48,Maintenance,Mojo Industrial,284,11/28/2021 10:29,,0,1.262129001684334,-0.6952060387967602
Addis Ababa,2020-09-05,9.9,Maintenance,Kotebe B,1137,9/5/2020 9:54,,0,1.0798333726422344,2.2571869168157708
Hawassa,2020-11-08,8.21,Equipment Failure,Hawassa South,514,11/8/2020 8:12,,0,0.5486616259505993,0.10086709108704063
Dire Dawa,2017-02-27,7.06,Equipment Failure,F5 ,543,2/27/2017 7:03,,0,0.18721339595333242,0.2012415292028242
Addis Ababa,2022-07-28,1.96,Maintenance,Sebeta 1,805,7/28/2022 1:57,QR,1,-1.4157309283823714,1.1080726597661104
Harer,2021-12-22,5.49,Maintenance,Fedis,288,12/22/2021 5:29,,0,-0.30624201369510956,-0.6813612887118246
Dire Dawa,2018-08-09,5.1,Accident,F1,590,8/9/2018 5:05,,0,-0.4288201090854871,0.36391734270081827
Dire Dawa,2018-01-31,3.86,Maintenance,Dire Dawa Substation 1,547,1/31/2018 3:51,,0,-0.8185555918651484,0.2150862792877599
Mojo,2021-03-19,8.96,Maintenance,Mojo Industrial,162,3/19/2021 8:57,,0,0.7843887324705558,-1.117470916387298
Bahir Dar,2018-11-08,6.45,Accident,Bahir Dar West,381,11/8/2018 6:27,,0,-0.004511317349565331,-0.3594708492370703
Mojo,2019-01-15,1.89,Maintenance,Mojo Industrial,232,1/15/2019 1:53,QR,1,-1.4377321249909008,-0.8751877899009238
Dire Dawa,2017-01-14,3.42,Equipment Failure,F5 ,676,1/14/2017 3:25,,0,-0.9568488276901894,0.6615794695269351
Hawassa,2022-03-20,8.52,Equipment Failure,Hawassa South,381,3/20/2022 8:30,,0,0.6460954966455142,-0.3594708492370703
Addis Ababa,2020-05-25,1.84,Maintenance,Substation name,1093,5/25/2020 1:50,QR,1,-1.4534472654255643,2.1048946658814787
Dire Dawa,2019-05-28,10.36,Equipment Failure,F1,446,5/28/2019 10:21,,0,1.2244126646411406,-0.1344936603568657
Mojo,2017-11-07,6.45,Equipment Failure,Mojo Central,226,11/7/2017 6:26,,0,-0.004511317349565331,-0.8959549150283274
Dire Dawa,2020-10-18,6.29,Maintenance,F2,417,10/18/2020 6:17,,0,-0.05479976674048942,-0.23486809847264928
Hawassa,2017-03-09,7.52,Maintenance,Hawassa Main,449,3/9/2017 7:30,,0,0.33179268795223904,-0.12411009779316394
Addis Ababa,2021-06-22,10.07,Maintenance,Substation name,910,6/22/2021 10:04,,0,1.1332648501200913,1.4714973494956716
Mojo,2018-04-17,4.83,Maintenance,Mojo Industrial,148,4/17/2018 4:49,,0,-0.5136818674326713,-1.165927541684573
Dire Dawa,2019-07-09,8.46,Equipment Failure,F6,423,7/9/2019 8:27,,0,0.6272373281239182,-0.21410097334524578
Bahir Dar,2019-01-17,7.22,Maintenance,Bahir Dar West,696,1/17/2019 7:13,,0,0.2375018453442565,0.7308032199516135
Mojo,2019-03-22,3.94,Maintenance,Mojo Central,291,3/22/2019 3:56,,0,-0.7934113671696863,-0.6709777261481228
Dire Dawa,2021-04-30,10.66,Equipment Failure,F4,677,4/30/2021 10:39,,0,1.3187035072491236,0.6650406570481691
Dire Dawa,2021-08-29,9.77,Accident,F5,335,8/29/2021 9:46,,0,1.0389740075121083,-0.5186854752138305
Dire Dawa,2020-05-28,8.24,Equipment Failure,F2,360,5/28/2020 8:14,,0,0.5580907102113974,-0.43215578718298253
Harer,2017-07-06,10.36,Accident,Line 1,148,7/6/2017 10:21,,0,1.2244126646411406,-1.165927541684573
Mojo,2017-04-26,10.54,Equipment Failure,Mojo Industrial,285,4/26/2017 10:32,,0,1.2809871702059301,-0.6917448512755263
Dire Dawa,2017-12-11,8.79,Maintenance,F5,599,12/11/2017 8:47,,0,0.7309572549926985,0.39506803039192356
Addis Ababa,2020-09-15,10.21,Accident,Substation name,1170,9/15/2020 10:12,,0,1.1772672433371498,2.37140610501649
Addis Ababa,2021-01-15,8.67,Equipment Failure,Average interruption per year/line    ,1163,1/15/2021 8:40,,0,0.6932409179495057,2.3471777923678525
Addis Ababa,2018-08-19,8.48,Maintenance,Gefersa,1081,8/19/2018 8:28,,0,0.6335233842977835,2.0633604156266716
Mojo,2020-12-20,7.8,Maintenance,Mojo Industrial,132,12/20/2020 7:48,,0,0.4197974743863562,-1.2213065420243154
Harer,2019-11-30,9.28,Maintenance,Line1,247,11/30/2019 9:16,,0,0.8849656312524035,-0.8232699770824151
Addis Ababa,2019-08-27,2.74,Maintenance,Sebeta 2,969,8/27/2019 2:44,QR,1,-1.1705747376016165,1.6757074132484726
Bahir Dar,2018-08-22,10.69,Maintenance,Bahir Dar East,490,8/22/2018 10:41,,0,1.3281325915099216,0.017798590577426634
Harer,2021-07-12,10.59,Maintenance,Line 1,157,7/12/2021 10:35,,0,1.2967023106405942,-1.1347768539934675
Addis Ababa,2017-09-07,1.32,Equipment Failure,Average interruption per year/line    ,833,9/7/2017 1:19,QR,1,-1.6168847259460675,1.20498591036066
Addis Ababa,2019-07-31,10.08,Maintenance,Gefersa,937,7/31/2019 10:05,,0,1.136407878207024,1.5649494125689873
Mojo,2018-09-13,2.42,Maintenance,Mojo Central,125,9/13/2018 2:25,QR,1,-1.2711516363834647,-1.245534854672953
Hawassa,2021-01-25,4.69,Accident,Hawassa Main,469,1/25/2021 4:41,,0,-0.5576842606497298,-0.05488634736848561
Hawassa,2019-12-02,9.18,Maintenance,Hawassa South,311,12/2/2019 9:10,,0,0.853535350383076,-0.6017539757234445
Harer,2021-01-01,2.77,Equipment Failure,TL,177,1/1/2021 2:46,QR,1,-1.1611456533408184,-1.0655531035687893
Addis Ababa,2017-04-10,10.0,Maintenance,Gofa,1125,4/10/2017 9:59,,0,1.1112636535115619,2.2156526665609637
Hawassa,2019-05-16,10.15,Maintenance,Hawassa South,524,5/16/2019 10:09,,0,1.158409074815553,0.1354789662993798
Mojo,2020-08-05,6.58,Maintenance,Mojo Industrial,180,8/5/2020 6:34,,0,0.03634804778056042,-1.0551695410050874
Hawassa,2017-01-17,1.07,Maintenance,Hawassa Main,434,1/17/2017 1:04,QR,1,-1.6954604281193861,-0.1760279106116727
Hawassa,2018-10-23,4.16,Equipment Failure,Hawassa Main,516,10/23/2018 4:09,,0,-0.7242647492571657,0.10778946612950846
Bahir Dar,2018-04-08,7.79,Accident,Bahir Dar West,486,4/8/2018 7:47,,0,0.4166544462994235,0.003953840492490968
Dire Dawa,2017-10-28,11.79,Equipment Failure,F4,496,10/28/2017 11:47,,0,1.6738656810725243,0.03856571570483013
Mojo,2018-07-14,7.95,Maintenance,Mojo Industrial,146,7/14/2018 7:56,,0,0.4669428956903476,-1.1728499167270408
Hawassa,2018-12-20,3.86,Equipment Failure,Hawassa Main,412,12/20/2018 3:51,,0,-0.8185555918651484,-0.2521740360788189
Bahir Dar,2017-01-17,7.97,Maintenance,Bahir Dar East,579,1/17/2017 7:58,,0,0.47322895186421293,0.3258442799672452
Mojo,2021-06-24,6.94,Accident,Mojo Central,153,6/24/2021 6:56,,0,0.14949705891013962,-1.1486216040784032
Harer,2018-01-20,9.58,Equipment Failure,Line 3,107,1/20/2018 9:34,,0,0.9792564738603863,-1.3078362300551634
Addis Ababa,2019-04-13,2.18,Equipment Failure,Kotebe A,1014,4/13/2019 2:10,QR,1,-1.346584310469851,1.8314608517039992
Bahir Dar,2021-03-22,9.37,Maintenance,Bahir Dar West,334,3/22/2021 9:22,,0,0.9132528840347981,-0.5221466627350644
Hawassa,2020-01-01,6.95,Maintenance,Hawassa South,634,1/1/2020 6:57,,0,0.1526400869970723,0.5162095936351107
Harer,2021-12-31,11.59,Maintenance,Harer No 3,235,12/31/2021 11:35,,0,1.6110051193338695,-0.8648042273372221
Mojo,2021-11-01,4.76,Maintenance,Mojo Industrial,212,11/1/2021 4:45,,0,-0.5356830640412007,-0.9444115403256022
Dire Dawa,2017-06-07,7.96,Maintenance,Dire Dawa Substation 1,342,6/7/2017 7:57,,0,0.47008592377728026,-0.494457162565193
Bahir Dar,2022-03-03,11.25,Maintenance,Bahir Dar East,312,3/3/2022 11:15,,0,1.5041421643781558,-0.5982927882022105
Hawassa,2017-04-03,2.13,Maintenance,Hawassa South,631,4/3/2017 2:07,QR,1,-1.3622994509045145,0.5058260310714089
Mojo,2017-02-11,11.31,Maintenance,Mojo Industrial,280,2/11/2017 11:18,,0,1.5230003328997526,-0.7090507888816958
Hawassa,2022-07-11,8.57,Equipment Failure,Hawassa South,429,7/11/2022 8:34,,0,0.6618106370801783,-0.19333384821784227
Mojo,2022-03-04,1.75,Maintenance,Mojo Industrial,286,3/4/2022 1:44,QR,1,-1.481734518207959,-0.6882836637542924
Harer,2020-06-14,4.31,Maintenance,Harer Water,254,6/14/2020 4:18,,0,-0.6771193279531745,-0.7990416644337777
Mojo,2020-06-09,8.79,Equipment Failure,Mojo Central,103,6/9/2020 8:47,,0,0.7309572549926985,-1.321680980140099
Dire Dawa,2021-04-03,1.74,Maintenance,F2,625,4/3/2021 1:44,QR,1,-1.4848775462948918,0.48505890594400536
Bahir Dar,2019-07-04,7.4,Maintenance,Bahir Dar West,346,7/4/2019 7:24,,0,0.2940763509090462,-0.4806124124802574
Bahir Dar,2017-09-10,4.8,Maintenance,Bahir Dar East,673,9/10/2017 4:48,,0,-0.5231109516934697,0.6511959069632334
Addis Ababa,2017-02-15,7.83,Equipment Failure,Outage per line ,954,2/15/2017 7:49,,0,0.42922655864715453,1.623789600429964
Dire Dawa,2018-12-13,1.5,Equipment Failure,F3,450,12/13/2018 1:30,QR,1,-1.560310220381278,-0.12064891027193003
Mojo,2021-10-21,10.59,Maintenance,Mojo Industrial,212,10/21/2021 10:35,,0,1.2967023106405942,-0.9444115403256022
Mojo,2020-09-15,11.71,Equipment Failure,Mojo Industrial,128,9/15/2020 11:42,,0,1.6487214563770627,-1.2351512921092511
Addis Ababa,2021-12-28,11.66,Maintenance,Bole Lemi,1170,12/28/2021 11:39,,0,1.6330063159423989,2.37140610501649
Harer,2022-07-08,9.25,Accident,Fedis,239,7/8/2022 9:14,,0,0.8755365469916053,-0.8509594772522864
Bahir Dar,2017-07-13,2.43,Maintenance,Bahir Dar West,589,7/13/2017 2:25,QR,1,-1.268008608296532,0.3604561551795844
Addis Ababa,2022-01-24,9.34,Maintenance,Kality 2,963,1/24/2022 9:20,,0,0.9038237997740001,1.654940288121069
Hawassa,2018-06-17,1.27,Accident,Hawassa South,628,6/17/2018 1:16,QR,1,-1.6325998663807315,0.4954424685077071
Hawassa,2020-07-13,1.24,Equipment Failure,Hawassa South,565,7/13/2020 1:14,QR,1,-1.6420289506415295,0.2773876546699704
Mojo,2020-02-22,4.56,Maintenance,Mojo Industrial,191,2/22/2020 4:33,,0,-0.5985436257798558,-1.0170964782715144
Addis Ababa,2019-05-17,6.38,Equipment Failure,TOTAL,884,5/17/2019 6:22,,0,-0.02651251395809469,1.3815064739435898
Addis Ababa,2018-11-11,9.47,Maintenance,Gelan,1150,11/11/2018 9:28,,0,0.9446831649041261,2.3021823545918116
Mojo,2019-01-14,8.52,Equipment Failure,Mojo Central,151,1/14/2019 8:30,,0,0.6460954966455142,-1.155543979120871
Hawassa,2018-12-31,5.9,Accident,Hawassa South,518,12/31/2018 5:54,,0,-0.17737786213086668,0.1147118411719763
Bahir Dar,2018-01-04,4.01,Maintenance,Bahir Dar West,498,1/4/2018 4:00,,0,-0.7714101705611571,0.04548809074729797
Mojo,2020-01-23,11.97,Equipment Failure,Mojo Industrial,232,1/23/2020 11:58,,0,1.7304401866373142,-0.8751877899009238
Mojo,2017-09-07,5.69,Maintenance,Mojo Central,179,9/7/2017 5:41,,0,-0.24338145195645447,-1.0586307285263215
Harer,2020-01-22,5.97,Accident,Line 1,170,1/22/2020 5:57,,0,-0.1553766655223376,-1.0897814162174266
Addis Ababa,2022-06-07,2.8,Maintenance,Mekanisa,1006,6/7/2022 2:47,QR,1,-1.1517165690800202,1.8037713515341278
Addis Ababa,2019-02-05,9.74,Equipment Failure,Legetafo,965,2/5/2019 9:44,,0,1.0295449232513103,1.661862663163537
Dire Dawa,2021-05-12,8.63,Equipment Failure,F5 ,479,5/12/2021 8:37,,0,0.6806688056017749,-0.020274472156146448
Hawassa,2021-11-29,3.43,Equipment Failure,Hawassa South,630,11/29/2021 3:25,,0,-0.9537057996032566,0.502364843550175
Dire Dawa,2021-11-20,1.91,Equipment Failure,F6,387,11/20/2021 1:54,QR,1,-1.431446068817035,-0.33870372410966676
Addis Ababa,2018-06-02,8.49,Accident,Sululta,1187,6/2/2018 8:29,,0,0.6366664123847162,2.4302462928774666
Hawassa,2017-11-17,8.2,Maintenance,Hawassa Main,537,11/17/2017 8:11,,0,0.5455185978636661,0.1804744040754207
Addis Ababa,2018-03-09,4.01,Equipment Failure,Addis East2,950,3/9/2018 4:00,,0,-0.7714101705611571,1.6099448503450282
Bahir Dar,2020-08-12,11.46,Maintenance,Bahir Dar West,615,8/12/2020 11:27,,0,1.570145754203744,0.4504470307316662
Mojo,2021-07-23,2.66,Maintenance,Mojo Central,176,7/23/2021 2:39,QR,1,-1.1957189622970785,-1.069014291090023
Dire Dawa,2020-12-06,5.76,Maintenance,F5 ,584,12/6/2020 5:45,,0,-0.22138025534792538,0.3431502175734148
Harer,2018-01-23,11.38,Accident,Line 3,218,1/23/2018 11:22,,0,1.545001529508282,-0.9236444151981987
Mojo,2021-08-20,5.62,Maintenance,Mojo Central,106,8/20/2021 5:37,,0,-0.26538264856498384,-1.3112974175763974
Harer,2019-12-19,8.02,Equipment Failure,PT,173,12/19/2019 8:01,,0,0.48894409229887664,-1.079397853653725
Hawassa,2021-07-11,5.37,Maintenance,Hawassa South,576,7/11/2021 5:22,,0,-0.34395835073830267,0.3154607174035435
Harer,2021-07-23,4.02,Maintenance,Line 2,150,7/23/2021 4:00,,0,-0.7682671424742245,-1.159005166642105
Hawassa,2019-09-11,11.82,Maintenance,Hawassa Main,568,9/11/2019 11:49,,0,1.6832947653333228,0.2877712172336721
Hawassa,2022-07-17,5.5,Equipment Failure,Hawassa Main,514,7/17/2022 5:30,,0,-0.3030989856081769,0.10086709108704063
Hawassa,2020-05-21,10.84,Equipment Failure,Hawassa South,484,5/21/2020 10:50,,0,1.375278012813913,-0.0029685345499768654
Dire Dawa,2020-10-23,3.53,Maintenance,F2,404,10/23/2020 3:31,,0,-0.9222755187339292,-0.2798635362486902
Bahir Dar,2020-09-29,3.34,Accident,Bahir Dar West,592,9/29/2020 3:20,,0,-0.9819930523856515,0.3708397177432861
Mojo,2022-03-08,1.34,Maintenance,Mojo Central,239,3/8/2022 1:20,QR,1,-1.6105986697722021,-0.8509594772522864
Mojo,2020-10-05,8.17,Maintenance,Mojo Industrial,117,10/5/2020 8:10,,0,0.536089513602868,-1.2732243548428241
Mojo,2017-11-27,5.05,Maintenance,Mojo Industrial,216,11/27/2017 5:03,,0,-0.44453524952015083,-0.9305667902406665
Mojo,2017-05-30,10.51,Maintenance,Mojo Industrial,123,5/30/2017 10:30,,0,1.271558085945132,-1.2524572297154208
Hawassa,2019-08-27,6.21,Maintenance,Hawassa South,611,8/27/2019 6:12,,0,-0.07994399143595146,0.43660228064673057
Bahir Dar,2018-10-26,11.65,Equipment Failure,Bahir Dar West,479,10/26/2018 11:39,,0,1.6298632878554662,-0.020274472156146448
Bahir Dar,2018-08-25,3.04,Maintenance,Bahir Dar West,442,8/25/2018 3:02,,0,-1.076283894993634,-0.14833841044180135
Hawassa,2017-05-04,10.55,Maintenance,Hawassa South,544,5/4/2017 10:33,,0,1.2841301982928635,0.20470271672405813
Mojo,2020-01-17,9.54,Accident,Mojo Industrial,236,1/17/2020 9:32,,0,0.9666843615126549,-0.8613430398159881
Dire Dawa,2018-11-11,9.48,Equipment Failure,F5,393,11/11/2018 9:28,,0,0.9478261929910589,-0.3179365989822633
Addis Ababa,2019-09-17,10.29,Maintenance,Legetafo,1091,9/17/2019 10:17,,0,1.2024114680326115,2.0979722908390106
Mojo,2017-05-05,9.37,Equipment Failure,Mojo Central,298,5/5/2017 9:22,,0,0.9132528840347981,-0.6467494134994853
Mojo,2021-12-27,7.89,Equipment Failure,Mojo Central,159,12/27/2021 7:53,,0,0.4480847271687509,-1.1278544789509997
Addis Ababa,2017-06-18,2.44,Equipment Failure,Addis Center,1026,6/18/2017 2:26,QR,1,-1.2648655802095994,1.872995101958806
Addis Ababa,2022-03-08,1.36,Accident,Sululta 33,844,3/8/2022 1:21,QR,1,-1.6043126135983363,1.2430589730942332
Harer,2022-02-17,11.13,Maintenance,Fedis,265,2/17/2022 11:07,,0,1.466425827334963,-0.7609686017002046
Dire Dawa,2020-09-08,7.78,Equipment Failure,F4,525,9/8/2020 7:46,,0,0.4135114182124908,0.13894015382061373
Dire Dawa,2020-01-16,9.76,Maintenance,F2,646,1/16/2020 9:45,,0,1.0358309794251757,0.5577438438899176
Dire Dawa,2019-10-11,6.3,Equipment Failure,F4,568,10/11/2019 6:17,,0,-0.05165673865355673,0.2877712172336721
Hawassa,2020-04-28,2.29,Maintenance,Hawassa Main,400,4/28/2020 2:17,QR,1,-1.3120110015135904,-0.29370828633362583
Hawassa,2021-10-01,2.38,Maintenance,Hawassa South,394,10/1/2021 2:22,QR,1,-1.2837237487311957,-0.31447541146102936
Hawassa,2022-05-16,8.54,Equipment Failure,Hawassa South,612,5/16/2022 8:32,,0,0.6523815528193797,0.44006346816796443
Dire Dawa,2019-09-12,5.73,Maintenance,F1,534,9/12/2019 5:44,,0,-0.23080933960872344,0.17009084151171897
Bahir Dar,2021-11-09,3.21,Maintenance,Bahir Dar East,453,11/9/2021 3:12,,0,-1.0228524175157772,-0.11026534770822828
Dire Dawa,2020-11-28,6.41,Maintenance,F2,406,11/28/2020 6:24,,0,-0.017083429697296353,-0.27294116120622236
Dire Dawa,2018-12-06,1.71,Equipment Failure,F3,429,12/6/2018 1:42,QR,1,-1.4943066305556902,-0.19333384821784227
Dire Dawa,2019-11-08,7.4,Accident,F5 ,342,11/8/2019 7:24,,0,0.2940763509090462,-0.494457162565193
Harer,2017-11-27,3.96,Maintenance,Fedis,285,11/27/2017 3:57,,0,-0.7871253109958208,-0.6917448512755263
Dire Dawa,2017-05-16,9.77,Maintenance,F1,603,5/16/2017 9:46,,0,1.0389740075121083,0.4089127804768592
Harer,2017-08-15,4.41,Maintenance,Line 4,175,8/15/2017 4:24,,0,-0.6456890470838469,-1.0724754786112571
Mojo,2022-05-24,6.01,Equipment Failure,Mojo Central,243,5/24/2022 6:00,,0,-0.14280455317460658,-0.8371147271673508
Addis Ababa,2019-01-23,1.13,Equipment Failure,Nifas Silk,859,1/23/2019 1:07,QR,1,-1.6766022595977899,1.294976785912742
Addis Ababa,2021-04-14,1.8,Maintenance,Sebeta 2,1106,4/14/2021 1:47,QR,1,-1.4660193777732955,2.1498901036575195
Mojo,2020-01-10,5.32,Maintenance,Mojo Industrial,181,1/10/2020 5:19,,0,-0.3596734911729664,-1.0517083534838536
Addis Ababa,2018-01-13,6.28,Maintenance,Addis East2,1160,1/13/2018 6:16,,0,-0.0579427948274221,2.336794229804151
Mojo,2018-06-27,7.6,Accident,Mojo Central,253,6/27/2018 7:36,,0,0.35693691264770105,-0.8025028519550116
Harer,2019-08-17,4.21,Accident,Line 3,111,8/17/2019 4:12,,0,-0.708549608822502,-1.2939914799702277
Addis Ababa,2019-08-21,8.64,Maintenance,Sululta,1006,8/21/2019 8:38,,0,0.6838118336887077,1.8037713515341278
Bahir Dar,2020-02-19,10.46,Maintenance,Bahir Dar West,477,2/19/2020 10:27,,0,1.2558429455104687,-0.02719684719861428
Dire Dawa,2017-12-14,9.58,Maintenance,F1,458,12/14/2017 9:34,,0,0.9792564738603863,-0.0929594101020587
Mojo,2019-03-28,1.44,Equipment Failure,Mojo Central,254,3/28/2019 1:26,QR,1,-1.5791683889028747,-0.7990416644337777
Harer,2018-09-12,6.29,Maintenance,Line 3,254,9/12/2018 6:17,,0,-0.05479976674048942,-0.7990416644337777
Dire Dawa,2019-06-15,2.15,Maintenance,F6,678,6/15/2019 2:09,QR,1,-1.356013394730649,0.668501844569403
Harer,2019-01-12,3.66,Equipment Failure,Harer Water,296,1/12/2019 3:39,,0,-0.8814161536038033,-0.6536717885419532
Hawassa,2020-08-02,11.85,Accident,Hawassa South,318,8/2/2020 11:51,,0,1.692723849594121,-0.577525663074807
Dire Dawa,2021-09-25,2.57,Accident,Dire Dawa Substation 1,315,9/25/2021 2:34,QR,1,-1.2240062150794735,-0.5879092256385088
Addis Ababa,2020-11-18,6.49,Maintenance,Addis West,1030,11/18/2020 6:29,,0,0.008060794998165692,1.8868398520437417
Hawassa,2017-05-25,7.8,Equipment Failure,Hawassa Main,676,5/25/2017 7:47,,0,0.4197974743863562,0.6615794695269351
Addis Ababa,2017-07-26,8.73,Accident,Sululta 33,1011,7/26/2017 8:43,,0,0.7120990864711023,1.8210772891402973
Addis Ababa,2021-01-25,7.16,Maintenance,Kotebe B,1164,1/25/2021 7:09,,0,0.2186436768226601,2.3506389798890868
Dire Dawa,2018-09-15,1.11,Maintenance,F5 ,522,9/15/2018 1:06,QR,1,-1.6828883157716552,0.12855659125691196
Harer,2021-05-04,4.59,Equipment Failure,Fedis,108,5/4/2021 4:35,,0,-0.5891145415190574,-1.3043750425339296
Bahir Dar,2020-12-08,6.69,Equipment Failure,Bahir Dar East,613,12/8/2020 6:41,,0,0.0709213567368208,0.44352465568919835
Dire Dawa,2022-06-08,1.97,Maintenance,Dire Dawa Substation 1,546,6/8/2022 1:57,QR,1,-1.4125879002954387,0.21162509176652597
Mojo,2022-03-28,4.86,Maintenance,Mojo Central,152,3/28/2022 4:51,,0,-0.5042527831718729,-1.1520827915996372
Addis Ababa,2019-01-01,1.37,Equipment Failure,TOTAL,1095,1/1/2019 1:21,QR,1,-1.6011695855114036,2.1118170409239463
Hawassa,2020-06-30,1.86,Accident,Hawassa Main,470,6/30/2020 1:51,QR,1,-1.4471612092516988,-0.0514251598472517
Addis Ababa,2017-11-06,5.37,Maintenance,TOTAL,903,11/6/2017 5:21,,0,-0.34395835073830267,1.4472690368470342
Harer,2019-02-06,2.46,Equipment Failure,Harer Water,264,2/6/2019 2:27,QR,1,-1.2585795240357338,-0.7644297892214386
Harer,2022-10-21,7.24,Accident,TL,241,10/21/2022 7:14,,0,0.24378790151812213,-0.8440371022098186
Bahir Dar,2021-03-10,8.58,Equipment Failure,Bahir Dar West,579,3/10/2021 8:35,,0,0.664953665167111,0.3258442799672452
Mojo,2019-05-09,9.81,Equipment Failure,Mojo Central,121,5/9/2019 9:48,,0,1.0515461198598397,-1.2593796047578887
Dire Dawa,2020-07-27,3.2,Maintenance,F5,641,7/27/2020 3:12,,0,-1.02599544560271,0.540437906283748
Addis Ababa,2022-08-17,2.84,Maintenance,Total No oflines,1119,8/17/2022 2:50,QR,1,-1.1391444567322893,2.1948855414335604
Dire Dawa,2018-11-09,2.15,Maintenance,F4,320,11/9/2018 2:09,QR,1,-1.356013394730649,-0.5706032880323392
